ds,yhat,yhat_lower,yhat_upper
2014-01-03,1548.287992446285,-1116.4500365582364,4327.907940680128
2014-01-04,1053.0685594809406,-1631.1945216879578,3937.8773138678207
2014-01-05,1144.803640700883,-1676.1373937157027,3831.7256843773757
2014-01-06,1270.094552075634,-1473.61707608353,4086.957265726219
2014-01-07,612.5913818987004,-2073.9498812322845,3392.6955241189744
2014-01-09,822.7233586793211,-1813.816633234329,3735.285983296247
2014-01-10,1043.4921932386553,-1697.9135763213383,3934.862366380931
2014-01-11,613.4539233652413,-2097.661232719327,3387.371300333279
2014-01-13,973.1502834567391,-1722.4336091150703,3781.9750162034716
2014-01-14,390.2112116034905,-2240.7543100658113,3072.9819541096695
2014-01-15,-467.72308515017767,-3247.088377750375,2497.340632653951
2014-01-16,748.1845058915849,-2048.008847264952,3488.3633692496996
2014-01-18,674.7120500062096,-2189.2463088499007,3230.558895374938
2014-01-19,895.9315482903337,-1660.9380015824966,3689.6360555884767
2014-01-20,1146.681811128238,-1625.606329061911,4008.298188501202
2014-01-21,607.9991882899067,-2021.044205890878,3309.7432030223176
2014-01-23,1026.1426156491773,-1841.7439703357584,3657.886013598708
2014-01-26,1186.1578900385632,-1633.305989650895,3974.6740692241283
2014-01-27,1420.0110855248915,-1366.7097697632082,3961.0125977934294
2014-01-28,854.589716516995,-1778.9951214528974,3434.994881927699
2014-01-30,1192.9702818964204,-1675.1857675824629,3891.608023095525
2014-01-31,1447.749686878906,-1099.4033172389816,4544.015686997919
2014-02-01,1030.9870222961176,-1585.541429539989,3961.3816435283275
2014-02-02,1185.133956953095,-1557.513337563158,4068.603516748883
2014-02-03,1355.9765541454615,-1505.76107634542,4135.975230073063
2014-02-04,726.7447920923845,-1876.9212017231669,3425.7029824151127
2014-02-06,941.9402250871547,-1731.401322992353,3678.3345576847305
2014-02-07,1140.7030807712172,-1729.7125126130854,3829.441260540557
2014-02-08,673.7605892039148,-2147.8369457446133,3313.0353282127057
2014-02-11,267.5950930503782,-2402.2926760727496,2920.6338265254294
2014-02-12,-668.1759266812837,-3366.775830989661,2042.1556926207606
2014-02-14,672.9491444055565,-1851.0036842330796,3502.1001829206207
2014-02-15,226.20757885268654,-2434.6719934962216,2814.1846023913768
2014-02-16,369.15266537650655,-2394.446522209413,3127.240708468578
2014-02-17,548.4296769015627,-2201.8503441097796,3199.84527577561
2014-02-18,-52.32150314253249,-2976.462039660083,2818.3611870572563
2014-02-20,279.30626802937513,-2627.354754940727,2947.36833140091
2014-02-21,564.5413675150874,-2133.484248358739,3317.1573639918556
2014-02-22,201.1884155659518,-2550.278767956466,2767.306690419828
2014-02-23,431.3420475173118,-2409.32593112379,3073.891558595886
2014-02-24,699.9097810917556,-2131.876376250265,3481.0961845836046
2014-02-27,693.1934835366582,-1954.6975585035923,3344.227750924107
2014-03-01,767.962050030021,-2090.9347330708983,3507.8875501954817
2014-03-02,1063.1624020155898,-1845.5224835705803,3690.0923274564493
2014-03-03,1387.3965807935401,-1372.147114503939,4270.366920024026
2014-03-04,921.4196015312691,-1799.700539670485,3540.667294536777
2014-03-05,170.1974705743246,-2732.1810053102054,3122.2275468358202
2014-03-07,1856.1606873061594,-642.9603135058624,4519.953131510092
2014-03-10,2140.220676850885,-705.8761077843138,4776.652889596099
2014-03-11,1635.9206890423857,-904.6408659697283,4666.302308369163
2014-03-14,2397.9031307796267,-334.51246288233625,5098.624645087395
2014-03-15,2032.0672239025807,-504.0834267817562,4820.143987351985
2014-03-16,2234.189968056843,-643.9082447644606,5101.452887178568
2014-03-17,2449.864569543781,-276.7287079958512,5227.866248820374
2014-03-18,1862.1049504562125,-942.3620880177509,4356.44268329489
2014-03-19,978.3609483814109,-1727.5055260297129,3801.7067360722385
2014-03-21,2377.7655258701934,-436.9588918374627,5178.117866147452
2014-03-22,1936.1662107717407,-734.406063395302,4826.127936286189
2014-03-23,2067.922076380675,-728.1447336378923,4843.012288340193
2014-03-24,2219.739471885078,-416.2899915088149,4916.33900925148
2014-03-25,1575.5659636238265,-1273.4608997817736,4294.548380948675
2014-03-26,643.589077292728,-2348.3626388998464,3268.9651307619033
2014-03-28,1972.9791371482247,-1040.3857342293115,4946.493213148022
2014-03-29,1510.01827661572,-1176.522073278591,4201.444171874376
2014-03-30,1629.4376428590626,-1111.813786292757,4590.557400610772
2014-03-31,1777.6372647810765,-1001.5080024976254,4558.460960903021
2014-04-01,1138.0727764915564,-1716.4889577190593,3643.2580309689706
2014-04-02,218.27264682298528,-2641.1749561616434,2991.654129710665
2014-04-03,1368.500979389994,-1423.9954121499318,4125.794441019895
2014-04-04,1591.3834528257119,-1080.047714026798,4266.164416710871
2014-04-05,1158.0264815495566,-1746.7629200547037,4024.7642552962147
2014-04-06,1310.793724323333,-1428.5576612415912,3913.085993822309
2014-04-07,1494.9719804054428,-1374.5237065577714,4077.7177302836853
2014-04-08,892.8997667078386,-1748.3733182177082,3580.2995422303616
